Warning in DEoptim(fn = DateOptimizerCache, lower = c(0, 0, rep(-1, 365)),  :
  For many problems it is best to set 'NP' (in 'control') to be at least ten times the length of the parameter vector. 

[Best: 0.4631471+0.0291055] Iteration 0070: 0.5007515+0.0340229 [Modulo=251; Transformer=156; Weights=0.009402+0.582342] 
[Best: 0.4631471+0.0291055] Iteration 0071: 0.4732820+0.0230819 [Modulo=209; Transformer=025; Weights=-0.004275+0.613023] 
[Best: 0.4631471+0.0291055] Iteration 0072: 0.4643028+0.0370322 [Modulo=125; Transformer=241; Weights=0.045738+0.542516] 
[Best: 0.4631471+0.0291055] Iteration 0073: 0.5030566+0.0606602 [Modulo=037; Transformer=074; Weights=-0.093661+0.610232] 
[Best: 0.4627985+0.0295825] Iteration 0074: 0.4627985+0.0295825 [Modulo=271; Transformer=091; Weights=-0.007628+0.554531] ***
[Best: 0.4627985+0.0295825] Iteration 0075: 0.5107904+0.0087362 [Modulo=155; Transformer=096; Weights=-0.032232+0.603251] 
[Best: 0.4627985+0.0295825] Iteration 0076: 0.4773931+0.0328449 [Modulo=359; Transformer=055; Weights=0.015911+0.586480] 
[Best: 0.4627985+0.0295825] Iteration 0077: 0.4802087+0.0466187 [Modulo=325; Transformer=079; Weights=-0.006149+0.605071] 
[Best: 0.4627985+0.0295825] Iteration 0078: 0.4962508+0.0631918 [Modulo=217; Transformer=076; Weights=0.014926+0.572360] 
[Best: 0.4627985+0.0295825] Iteration 0079: 0.5205506+0.0283927 [Modulo=295; Transformer=009; Weights=-0.023209+0.570277] 
[Best: 0.4627985+0.0295825] Iteration 0080: 0.4700738+0.0374406 [Modulo=155; Transformer=234; Weights=-0.028807+0.598545] 
